title,genres,budget,revenue,vote_average,vote_count,release_date,popularity,runtime,year,roi,main_genre
Into the Woods,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10402, ""name"": ""Music""}]",50000000.0,212902372.0,5.6,1652,2014-12-25,65.90161,125.0,2014.0,4.25804744,
Inside Man,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",45000000.0,184376254.0,7.3,1630,2006-03-23,45.220386,129.0,2006.0,4.097250088888889,
Payback,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",90000000.0,161626121.0,6.7,548,1999-02-05,17.457947,100.0,1999.0,1.7958457888888888,
Congo,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",50000000.0,152022101.0,5.0,213,1995-06-09,10.755847,109.0,1995.0,3.04044202,
We Bought a Zoo,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",50000000.0,120081841.0,6.5,909,2011-12-22,38.629763,124.0,2011.0,2.40163682,
Knowing,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",50000000.0,155446362.0,5.9,1486,2009-03-19,32.693093,121.0,2009.0,3.10892724,
Failure to Launch,"[{""id"": 35, ""name"": ""Comedy""}]",50000000.0,88715192.0,5.5,399,2006-03-10,18.806031,97.0,2006.0,1.77430384,
The Ring Two,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]",50000000.0,161451538.0,5.4,632,2005-03-17,32.233713,110.0,2005.0,3.22903076,
"Crazy, Stupid, Love.","[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",50000000.0,142851197.0,7.0,2443,2011-07-29,37.990705,118.0,2011.0,2.85702394,
Garfield,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",50000000.0,200804534.0,5.2,820,2004-06-10,17.667826,80.0,2004.0,4.01609068,
Christmas with the Kranks,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",60000000.0,,5.2,193,2004-11-24,9.225166,99.0,2004.0,,
Moneyball,"[{""id"": 18, ""name"": ""Drama""}]",50000000.0,110206216.0,7.0,1381,2011-09-22,46.180421,133.0,2011.0,2.20412432,
Outbreak,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",50000000.0,189859560.0,6.3,513,1995-03-10,30.397496,127.0,1995.0,3.7971912,
Non-Stop,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 9648, ""name"": ""Mystery""}]",50000000.0,222809600.0,6.8,2268,2014-01-26,83.295796,106.0,2014.0,4.456192,
Race to Witch Mountain,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 28, ""name"": ""Action""}]",50000000.0,106303988.0,5.5,509,2009-03-12,23.935053,98.0,2009.0,2.12607976,
V for Vendetta,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 14, ""name"": ""Fantasy""}]",54000000.0,132511035.0,7.7,4442,2006-03-15,84.630969,132.0,2006.0,2.4539080555555555,
Shanghai Knights,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 37, ""name"": ""Western""}]",50000000.0,88323487.0,6.0,692,2003-02-06,16.251204,115.0,2003.0,1.76646974,
Curious George,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",50000000.0,69834815.0,6.2,106,2006-02-10,9.894346,86.0,2006.0,1.3966963,
Herbie Fully Loaded,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10749, ""name"": ""Romance""}]",50000000.0,66002004.0,5.1,542,2005-06-22,12.050755,101.0,2005.0,1.32004008,
Don't Say a Word,"[{""id"": 53, ""name"": ""Thriller""}]",50000000.0,100020092.0,6.0,220,2001-09-28,11.596207,113.0,2001.0,2.00040184,
Hansel & Gretel: Witch Hunters,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 28, ""name"": ""Action""}]",50000000.0,224803475.0,5.7,3239,2013-01-17,53.02787,88.0,2013.0,4.4960695,
Unfaithful,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 18, ""name"": ""Drama""}]",50000000.0,119137784.0,6.3,276,2002-05-10,14.382253,124.0,2002.0,2.38275568,
I Am Number Four,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}]",50000000.0,144492830.0,5.9,1567,2011-02-18,43.450266,109.0,2011.0,2.8898566,
Syriana,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",50000000.0,94000000.0,6.3,451,2005-11-23,16.871194,128.0,2005.0,1.88,
13 Hours: The Secret Soldiers of Benghazi,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 10752, ""name"": ""War""}]",50000000.0,69411370.0,7.0,938,2016-01-13,42.526529,144.0,2016.0,1.3882274,
The Book of Life,"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",50000000.0,97437106.0,7.3,755,2014-10-01,34.890999,95.0,2014.0,1.94874212,
Firewall,"[{""id"": 53, ""name"": ""Thriller""}]",45000000.0,82800000.0,5.6,267,2006-02-10,18.186026,105.0,2006.0,1.84,
Absolute Power,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",50000000.0,50068310.0,6.4,223,1997-02-14,13.576765,121.0,1997.0,1.0013662,
G.I. Jane,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}]",50000000.0,48169156.0,6.0,395,1997-08-22,19.434672,125.0,1997.0,0.96338312,
The Game,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 9648, ""name"": ""Mystery""}]",50000000.0,109423648.0,7.5,1506,1997-09-12,62.925175,129.0,1997.0,2.18847296,
Silent Hill,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 9648, ""name"": ""Mystery""}]",50000000.0,97607453.0,6.3,1067,2006-04-21,32.927994,125.0,2006.0,1.95214906,
The Replacements,"[{""id"": 35, ""name"": ""Comedy""}]",,,6.1,203,2000-08-07,14.837288,118.0,2000.0,,
American Reunion,"[{""id"": 35, ""name"": ""Comedy""}]",50000000.0,234989584.0,6.1,1611,2012-04-04,39.920035,113.0,2012.0,4.69979168,
The Negotiator,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",50000000.0,44547681.0,6.8,582,1998-07-29,28.725621,140.0,1998.0,0.89095362,
Into the Storm,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",50000000.0,160602194.0,5.8,817,2014-08-06,20.566554,89.0,2014.0,3.21204388,
Beverly Hills Cop III,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}]",50000000.0,119208989.0,5.5,434,1994-05-24,20.333953,104.0,1994.0,2.38417978,
Gremlins 2: The New Batch,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 14, ""name"": ""Fantasy""}]",50000000.0,41482207.0,6.2,652,1990-06-15,33.98637,106.0,1990.0,0.82964414,
The Judge,"[{""id"": 18, ""name"": ""Drama""}]",50000000.0,83719388.0,7.2,1417,2014-10-08,42.472324,141.0,2014.0,1.67438776,
The Peacemaker,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",50000000.0,,5.8,255,1997-09-26,15.931084,124.0,1997.0,,
Resident Evil: Apocalypse,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",45000000.0,129394835.0,6.1,1267,2004-09-10,29.880122,94.0,2004.0,2.875440777777778,
Bridget Jones: The Edge of Reason,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",50000000.0,40203020.0,6.1,750,2004-11-10,28.803802,108.0,2004.0,0.8040604,
Out of Time,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]",50000000.0,55495563.0,6.1,298,2003-10-03,14.993459,105.0,2003.0,1.10991126,
On Deadly Ground,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",50000000.0,49000000.0,4.5,104,1994-02-18,9.114168,102.0,1994.0,0.98,
The Adventures of Sharkboy and Lavagirl,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 878, ""name"": ""Science Fiction""}]",50000000.0,69425966.0,4.4,269,2005-06-10,12.31101,92.0,2005.0,1.38851932,
The Beach,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 53, ""name"": ""Thriller""}]",40000000.0,144056873.0,6.3,1233,2000-02-11,41.362082,119.0,2000.0,3.601421825,
Raising Helen,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",50000000.0,49718611.0,5.9,189,2004-05-27,13.298205,119.0,2004.0,0.99437222,
Ninja Assassin,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",40000000.0,60462347.0,6.2,371,2009-09-29,19.085403,99.0,2009.0,1.511558675,
For Love of the Game,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",50000000.0,,6.3,88,1999-09-17,9.622345,137.0,1999.0,,
Striptease,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",50000000.0,113309743.0,4.4,205,1996-06-28,11.106006,115.0,1996.0,2.26619486,
Marmaduke,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 35, ""name"": ""Comedy""}]",50000000.0,83761844.0,5.0,149,2010-06-04,12.25622,87.0,2010.0,1.67523688,
Hereafter,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 14, ""name"": ""Fantasy""}]",50000000.0,105197635.0,5.8,510,2010-10-15,13.365715,129.0,2010.0,2.1039527,
Murder by Numbers,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",50000000.0,56714147.0,6.0,268,2002-04-19,16.167093,120.0,2002.0,1.13428294,
Assassins,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",50000000.0,30303072.0,6.0,387,1995-10-06,23.073933,132.0,1995.0,0.60606144,
Hannibal Rising,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",50000000.0,82169884.0,6.0,654,2007-02-06,6.567065,121.0,2007.0,1.64339768,
The Story of Us,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",50000000.0,58900031.0,5.9,75,1999-10-13,6.22577,95.0,1999.0,1.17800062,
The Host,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",44000000.0,63327201.0,6.0,1817,2013-03-22,42.933027,125.0,2013.0,1.439254568181818,
Basic,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",50000000.0,42792561.0,6.2,286,2003-04-18,19.226763,98.0,2003.0,0.85585122,
Blood Work,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",50000000.0,26199517.0,6.1,206,2002-08-04,10.089065,110.0,2002.0,0.52399034,
The International,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",50000000.0,60161391.0,6.0,368,2009-02-03,13.391833,118.0,2009.0,1.20322782,
Escape from L.A.,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",50000000.0,42277365.0,5.6,373,1996-08-09,21.637234,97.0,1996.0,0.8455473,
The Iron Giant,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",70000000.0,23159305.0,7.6,1436,1999-08-06,61.245957,86.0,1999.0,0.3308472142857143,
The Life Aquatic with Steve Zissou,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",50000000.0,34808403.0,7.1,775,2004-12-10,25.237969,119.0,2004.0,0.69616806,
Free State of Jones,"[{""id"": 10752, ""name"": ""War""}, {""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 53, ""name"": ""Thriller""}]",50000000.0,25035950.0,6.6,428,2016-06-24,21.589393,139.0,2016.0,0.500719,
The Life of David Gale,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",50000000.0,38955598.0,7.3,480,2003-02-21,22.442241,130.0,2003.0,0.77911196,
Man of the House,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 28, ""name"": ""Action""}]",40000000.0,,5.4,120,2005-02-25,6.004422,100.0,2005.0,,
Run All Night,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",50000000.0,71561644.0,6.3,1148,2015-03-11,74.64653,114.0,2015.0,1.43123288,
Eastern Promises,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 9648, ""name"": ""Mystery""}]",51500000.0,55112356.0,7.2,848,2007-09-14,35.481169,100.0,2007.0,1.0701428349514563,
Into the Blue,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 80, ""name"": ""Crime""}]",50000000.0,44434439.0,5.8,458,2005-09-30,14.723467,110.0,2005.0,0.88868878,
The Messenger: The Story of Joan of Arc,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 36, ""name"": ""History""}, {""id"": 10752, ""name"": ""War""}]",60000000.0,66976317.0,6.2,367,1999-10-18,21.084542,148.0,1999.0,1.11627195,
Your Highness,"[{""id"": 35, ""name"": ""Comedy""}]",49900000.0,26121638.0,5.2,501,2011-04-08,21.408222,102.0,2011.0,0.5234797194388777,
Dream House,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 9648, ""name"": ""Mystery""}]",50000000.0,38502340.0,5.8,391,2011-09-30,19.267479,84.0,2011.0,0.7700468,
Mad City,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",50000000.0,10541523.0,5.9,81,1997-11-07,3.314004,114.0,1997.0,0.21083046,
Baby's Day Out,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",50000000.0,16671505.0,5.8,274,1994-07-01,21.312186,99.0,1994.0,0.3334301,
The Scarlet Letter,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 10749, ""name"": ""Romance""}]",50000000.0,10382407.0,5.5,108,1995-10-13,7.44268,135.0,1995.0,0.20764814,
Fair Game,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",22000000.0,24188922.0,6.5,235,2010-05-20,12.54949,108.0,2010.0,1.0994964545454546,
Domino,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}]",50000000.0,22944502.0,6.0,444,2005-09-22,18.394571,127.0,2005.0,0.45889004,
Jade,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 10749, ""name"": ""Romance""}]",50000000.0,9851610.0,5.2,44,1995-10-13,8.189406,95.0,1995.0,0.1970322,
Gamer,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",50000000.0,40828540.0,5.6,760,2009-09-03,27.631262,95.0,2009.0,0.8165708,
Beautiful Creatures,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",60000000.0,60052138.0,5.6,984,2013-02-13,40.721373,124.0,2013.0,1.0008689666666666,
Death to Smoochy,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",55000000.0,,5.9,132,2002-03-28,11.329727,109.0,2002.0,,
Zoolander 2,"[{""id"": 35, ""name"": ""Comedy""}]",50000000.0,55969000.0,4.7,797,2016-02-06,37.253774,100.0,2016.0,1.11938,
The Big Bounce,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}]",50000000.0,6808550.0,5.0,76,2004-01-30,6.397388,88.0,2004.0,0.136171,
What Planet Are You From?,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 878, ""name"": ""Science Fiction""}]",60000000.0,,5.4,37,2000-03-03,2.275331,105.0,2000.0,,
Drive Angry,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}]",50000000.0,28931401.0,5.3,600,2011-02-24,30.387148,105.0,2011.0,0.57862802,
Street Fighter: The Legend of Chun-Li,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",50000000.0,12764201.0,3.9,112,2009-02-27,8.139676,97.0,2009.0,0.25528402,
The One,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",49000000.0,72700000.0,5.7,437,2001-11-02,21.746245,87.0,2001.0,1.4836734693877551,
The Adventures of Ford Fairlane,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 9648, ""name"": ""Mystery""}]",49000000.0,20423389.0,6.2,71,1990-07-11,2.808428,104.0,1990.0,0.41680385714285717,
The Boat That Rocked,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}]",50000000.0,36348784.0,7.2,666,2009-04-01,31.02233,116.0,2009.0,0.72697568,
Traffic,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}]",48000000.0,207515725.0,6.9,562,2000-12-27,25.170217,147.0,2000.0,4.323244270833333,
Indiana Jones and the Last Crusade,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}]",48000000.0,474171806.0,7.6,3152,1989-05-24,80.972475,127.0,1989.0,9.878579291666666,
Anna Karenina,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",,68929150.0,6.5,639,2012-09-06,26.38704,130.0,2012.0,,
Chappie,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",49000000.0,104399548.0,6.6,3062,2015-03-04,116.700319,120.0,2015.0,2.1306030204081634,
The Bone Collector,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",73000000.0,151493655.0,6.5,826,1999-11-04,33.884459,118.0,1999.0,2.0752555479452055,
Panic Room,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",48000000.0,196397415.0,6.5,1267,2002-03-29,53.043124,111.0,2002.0,4.0916128125,
The Tooth Fairy,"[{""id"": 27, ""name"": ""Horror""}]",,,4.3,13,2006-08-08,0.716764,0.0,2006.0,,
Three Kings,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}]",75000000.0,108000000.0,6.6,692,1999-09-27,34.973086,114.0,1999.0,1.44,
Child 44,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",50000000.0,3324330.0,6.1,547,2015-03-15,40.371098,137.0,2015.0,0.0664866,
Rat Race,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}]",48000000.0,85498534.0,6.0,518,2001-07-30,18.60049,112.0,2001.0,1.7812194583333334,
K-PAX,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 878, ""name"": ""Science Fiction""}]",48000000.0,50315140.0,7.1,695,2001-10-22,30.920075,120.0,2001.0,1.0482320833333334,
Kate & Leopold,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 878, ""name"": ""Science Fiction""}]",,,6.0,418,2001-12-25,11.940711,118.0,2001.0,,
Bedazzled,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",48000000.0,90383208.0,5.6,512,2000-10-19,19.348007,93.0,2000.0,1.8829835,
The Cotton Club,"[{""id"": 10402, ""name"": ""Music""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 10749, ""name"": ""Romance""}]",58000000.0,25928721.0,6.6,68,1984-12-14,8.59075,127.0,1984.0,0.44704691379310346,
3:10 to Yuma,"[{""id"": 37, ""name"": ""Western""}]",55000000.0,70016220.0,6.9,1188,2007-09-06,48.801089,122.0,2007.0,1.2730221818181817,
Taken 3,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 28, ""name"": ""Action""}]",48000000.0,325771424.0,6.1,2200,2014-12-16,88.844777,109.0,2014.0,6.786904666666667,
Out of Sight,"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}]",48000000.0,77745568.0,6.5,333,1998-06-26,16.000178,123.0,1998.0,1.6196993333333334,
The Cable Guy,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",47000000.0,102825796.0,5.7,594,1996-06-10,19.525659,96.0,1996.0,2.187782893617021,
Earth,"[{""id"": 18, ""name"": ""Drama""}]",,528972.0,6.6,9,1998-09-16,1.246883,101.0,1998.0,,
Dick Tracy,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",47000000.0,103738726.0,5.9,251,1990-06-15,7.859226,103.0,1990.0,2.2072069361702127,
The Thomas Crown Affair,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 10749, ""name"": ""Romance""}]",48000000.0,124305181.0,6.6,339,1999-08-06,18.102572,113.0,1999.0,2.5896912708333333,
Riding in Cars with Boys,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",48000000.0,35743308.0,6.5,103,2001-10-19,7.226115,132.0,2001.0,0.74465225,
First Blood,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 10752, ""name"": ""War""}]",15000000.0,125212904.0,7.2,1488,1982-10-22,63.071046,93.0,1982.0,8.347526933333333,
Solaris,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 9648, ""name"": ""Mystery""}]",,,7.7,357,1972-03-20,24.132271,167.0,1972.0,,
Happily N'Ever After,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",47000000.0,38085778.0,4.6,104,2006-09-14,10.410933,75.0,2006.0,0.8103357021276596,
